point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000176,41.574982625,15.642967555,24.706222058,2.477752540,-1.290223096,-2.608470831,PLA,T0
point-0000177,41.782710381,16.591251082,22.732821182,0.260686480,-1.314141202,-2.502185857,PLA,T0
point-0000178,41.989461761,17.651705129,20.784009038,-1.906211865,-1.338692295,-2.403779928,PLA,T0
point-0000179,42.194958177,18.849035976,18.846539512,-3.983249524,-1.364797889,-2.316089227,PLA,T0
point-0000180,42.398322656,20.185453163,16.929468649,-5.943907189,-1.391395348,-2.238469375,PLA,T0
point-0000181,42.598688441,21.666898327,15.047774399,-7.759808545,-1.417524236,-2.170600817,PLA,T0
point-0000182,42.796073878,23.335461315,13.201851460,-9.364393688,-1.443425497,-2.114885485,PLA,T0
point-0000183,42.990767058,25.198405872,11.419818139,-10.736442367,-1.468084217,-2.070466240,PLA,T0
point-0000184,43.183689950,27.275637424,9.728697302,-11.831681535,-1.490807595,-2.037623671,PLA,T0
point-0000185,43.378325872,29.622847373,8.143489230,-12.539797217,-1.511746622,-2.019155679,PLA,T0
point-0000186,43.578087727,32.236255204,6.705947726,-12.826421875,-1.529986949,-2.014169687,PLA,T0
point-0000187,43.788878914,35.128757056,5.451015457,-12.589808129,-1.544956966,-2.023779421,PLA,T0
point-0000188,44.022604150,38.329021160,4.401277105,-11.616389725,-1.556796957,-2.051765015,PLA,T0
point-0000189,44.285656488,41.754764280,3.590137514,-9.834380626,-1.564882109,-2.096978409,PLA,T0
point-0000190,44.592311803,45.323943526,3.026987630,-6.987934561,-1.569349870,-2.162559914,PLA,T0
point-0000191,44.951295337,48.836506289,2.704073471,-2.919372864,-1.570827178,-2.248909806,PLA,T0
point-0000192,45.369695071,52.000000000,2.600000000,2.500000000,-1.570796327,-2.356194490,PLA,T0
point-0000193,46.495110541,12.000000000,39.300009891,17.315843634,-1.210279180,-4.398229574,,
point-0000194,46.694762373,12.057447568,37.092924149,15.292439452,-1.213547193,-4.229347820,PLA,T0
point-0000195,46.897060681,12.244068324,34.909298769,13.193632862,-1.222210359,-4.072382389,PLA,T0
point-0000196,47.099915495,12.574444959,32.729541642,11.096425890,-1.233560879,-3.925577437,PLA,T0
point-0000197,47.303468293,13.052944006,30.567881422,8.993842794,-1.247238667,-3.787596247,PLA,T0
point-0000198,47.508201898,13.671075728,28.435930233,6.871635622,-1.263223989,-3.657483025,PLA,T0
point-0000199,47.713376613,14.415643569,26.341434409,4.743149000,-1.280349452,-3.533692490,PLA,T0
point-0000200,47.919834040,15.285488272,24.287256300,2.595063084,-1.299998884,-3.417842436,PLA,T0
point-0000201,48.127121925,16.272848065,22.268918057,0.445809375,-1.321765376,-3.310000080,PLA,T0
point-0000202,48.333990743,17.368037870,20.288814335,-1.677527090,-1.344499341,-3.209580947,PLA,T0
point-0000203,48.540039364,18.594067381,18.331234709,-3.731143753,-1.369110576,-3.119609557,PLA,T0
point-0000204,48.744328908,19.955069343,16.400471411,-5.683072471,-1.394581069,-3.039758560,PLA,T0
point-0000205,48.945872400,21.455006066,14.510361266,-7.504369764,-1.419791779,-2.969556687,PLA,T0
point-0000206,49.144531911,23.136659341,12.659076583,-9.124415304,-1.444975880,-2.911564247,PLA,T0
point-0000207,49.340539792,25.009686699,10.872396918,-10.518631702,-1.469107183,-2.865042655,PLA,T0
point-0000208,49.534673065,27.091986147,9.177655234,-11.646292290,-1.491393405,-2.830067688,PLA,T0
point-0000209,49.730269768,29.442474985,7.588168298,-12.392482167,-1.512010510,-2.809621104,PLA,T0
